,model,config,bit,calibration-Size,calibration-Time,accuracy
0,ViT-T/16/224,ptq4ViT,"(8, 8)",32,1.1025322953859964,0.7454
0,ViT-T/16/224,baseptq,"(8, 8)",32,0.860608987013499,0.72398
0,ViT-T/16/224,ptq4ViT,"(6, 6)",32,1.1326926509539286,0.66876
0,ViT-T/16/224,baseptq,"(6, 6)",32,0.8470339775085449,0.5769

0,ViT-S/32/224,ptq4ViT,"(8, 8)",32,0.940403139591217,0.75564
0,ViT-S/32/224,baseptq,"(8, 8)",32,0.7707144180933635,0.74796
0,ViT-S/32/224,ptq4ViT,"(6, 6)",32,0.9338201642036438,0.72134
0,ViT-S/32/224,baseptq,"(6, 6)",32,0.7747529864311218,0.64246

0,ViT-S/16/224,ptq4ViT,"(8, 8)",32,1.7258876323699952,0.81114
0,ViT-S/16/224,baseptq,"(8, 8)",32,1.1212252895037331,0.80824
0,ViT-S/16/224,ptq4ViT,"(6, 6)",32,1.7548462867736816,0.78454
0,ViT-S/16/224,baseptq,"(6, 6)",32,0.8589307983716329,0.69146

0,ViT-B/16/224,ptq4ViT,"(8, 8)",32,2.547555466492971,0.8473
0,ViT-B/16/224,baseptq,"(8, 8)",32,1.3948126196861268,0.84778
0,ViT-B/16/224,ptq4ViT,"(6, 6)",32,2.5771196762720745,0.82836
0,ViT-B/16/224,baseptq,"(6, 6)",32,1.4261421759923298,0.7977

0,ViT-B/16/384,ptq4ViT,"(8, 8)",32,13.567632432778677,0.85838
0,ViT-B/16/384,baseptq,"(8, 8)",32,5.537087444464365,0.85552
0,ViT-B/16/384,ptq4ViT,"(6, 6)",32,13.602751910686491,0.83096
0,ViT-B/16/384,baseptq,"(6, 6)",32,5.554718319574992,0.48104

0,DeiT-T/16/224,ptq4ViT,"(8, 8)",32,0.8504389524459839,0.7159
0,DeiT-T/16/224,baseptq,"(8, 8)",32,0.7270328243573506,0.71802
0,DeiT-T/16/224,ptq4ViT,"(6, 6)",32,0.8381665428479512,0.6974
0,DeiT-T/16/224,baseptq,"(6, 6)",32,0.723081096013387,0.67684

0,DeiT-S/16/224,ptq4ViT,"(8, 8)",32,1.1368563055992127,0.79462
0,DeiT-S/16/224,baseptq,"(8, 8)",32,0.8452630241711935,0.79612
0,DeiT-S/16/224,ptq4ViT,"(6, 6)",32,1.1385257363319397,0.76768
0,DeiT-S/16/224,baseptq,"(6, 6)",32,0.8431100328763326,0.74696

0,DeiT-B/16/224,ptq4ViT,"(8, 8)",32,2.5238428592681883,0.81568
0,DeiT-B/16/224,baseptq,"(8, 8)",32,1.3759692947069804,0.81506
0,DeiT-B/16/224,ptq4ViT,"(6, 6)",32,2.5358310540517173,0.80258
0,DeiT-B/16/224,baseptq,"(6, 6)",32,1.3847598950068156,0.78992

0,DeiT-B/16/384,ptq4ViT,"(8, 8)",32,13.520852792263032,0.83008
0,DeiT-B/16/384,baseptq,"(8, 8)",32,5.5593323310216265,0.8291
0,DeiT-B/16/384,ptq4ViT,"(6, 6)",32,13.624225036303203,0.81672
0,DeiT-B/16/384,baseptq,"(6, 6)",32,5.5422651727994285,0.69696
